C�digo de mesa;Provincia;C�digo municipio;Municipio;Distrito;Secci�n;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;N� Votos
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;232;141;178;213;0;1;PP;130
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;232;141;178;213;0;1;PSOE;76
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;232;141;178;213;0;1;IU-LVCyL;3
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;232;141;178;213;0;1;TC-ACAL;2
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;232;141;178;213;0;1;FE;1
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;232;141;178;213;0;1;FA;0
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;232;141;178;213;0;1;C.I.;0
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;945;387;560;681;8;28;PP;329
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;945;387;560;681;8;28;PSOE;246
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;945;387;560;681;8;28;C.I.;50
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;945;387;560;681;8;28;IU-LVCyL;17
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;945;387;560;681;8;28;FE;2
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;945;387;560;681;8;28;TC-ACAL;1
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;945;387;560;681;8;28;FA;0
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;934;418;593;705;19;17;PP;340
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;934;418;593;705;19;17;PSOE;267
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;934;418;593;705;19;17;C.I.;39
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;934;418;593;705;19;17;IU-LVCyL;20
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;934;418;593;705;19;17;TC-ACAL;2
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;934;418;593;705;19;17;FA;1
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;934;418;593;705;19;17;FE;0
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;220;93;160;186;3;3;PP;121
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;220;93;160;186;3;3;PSOE;54
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;220;93;160;186;3;3;FA;2
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;220;93;160;186;3;3;IU-LVCyL;2
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;220;93;160;186;3;3;C.I.;1
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;220;93;160;186;3;3;TC-ACAL;0
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;220;93;160;186;3;3;FE;0
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;137;61;93;105;0;1;PP;96
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;137;61;93;105;0;1;PSOE;7
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;137;61;93;105;0;1;IU-LVCyL;1
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;137;61;93;105;0;1;C.I.;0
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;137;61;93;105;0;1;FE;0
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;137;61;93;105;0;1;TC-ACAL;0
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;137;61;93;105;0;1;FA;0
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;265;137;201;239;2;5;PP;143
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;265;137;201;239;2;5;PSOE;85
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;265;137;201;239;2;5;IU-LVCyL;2
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;265;137;201;239;2;5;C.I.;1
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;265;137;201;239;2;5;TC-ACAL;1
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;265;137;201;239;2;5;FE;0
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;265;137;201;239;2;5;FA;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;189;88;122;147;0;2;PP;114
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;189;88;122;147;0;2;PSOE;30
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;189;88;122;147;0;2;TC-ACAL;1
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;189;88;122;147;0;2;IU-LVCyL;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;189;88;122;147;0;2;FA;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;189;88;122;147;0;2;FE;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;189;88;122;147;0;2;C.I.;0
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;168;70;129;156;4;2;PP;94
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;168;70;129;156;4;2;PSOE;54
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;168;70;129;156;4;2;FE;1
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;168;70;129;156;4;2;IU-LVCyL;1
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;168;70;129;156;4;2;C.I.;0
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;168;70;129;156;4;2;TC-ACAL;0
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;168;70;129;156;4;2;FA;0
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;457;276;350;419;2;5;PSOE;211
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;457;276;350;419;2;5;PP;192
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;457;276;350;419;2;5;IU-LVCyL;6
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;457;276;350;419;2;5;TC-ACAL;2
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;457;276;350;419;2;5;FA;1
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;457;276;350;419;2;5;C.I.;0
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;457;276;350;419;2;5;FE;0
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;473;271;355;425;3;1;PSOE;217
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;473;271;355;425;3;1;PP;191
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;473;271;355;425;3;1;IU-LVCyL;9
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;473;271;355;425;3;1;TC-ACAL;3
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;473;271;355;425;3;1;C.I.;1
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;473;271;355;425;3;1;FA;0
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;473;271;355;425;3;1;FE;0
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;807;358;510;628;6;10;PP;345
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;807;358;510;628;6;10;PSOE;223
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;807;358;510;628;6;10;IU-LVCyL;36
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;807;358;510;628;6;10;FE;2
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;807;358;510;628;6;10;C.I.;2
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;807;358;510;628;6;10;TC-ACAL;2
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;807;358;510;628;6;10;FA;2
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;813;384;529;620;7;4;PP;327
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;813;384;529;620;7;4;PSOE;219
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;813;384;529;620;7;4;IU-LVCyL;56
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;813;384;529;620;7;4;FE;4
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;813;384;529;620;7;4;TC-ACAL;2
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;813;384;529;620;7;4;C.I.;1
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;813;384;529;620;7;4;FA;0
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;618;285;400;464;2;6;PP;225
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;618;285;400;464;2;6;PSOE;177
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;618;285;400;464;2;6;IU-LVCyL;54
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;618;285;400;464;2;6;TC-ACAL;0
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;618;285;400;464;2;6;FA;0
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;618;285;400;464;2;6;C.I.;0
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;618;285;400;464;2;6;FE;0
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1017;189;567;766;8;6;PSOE;367
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1017;189;567;766;8;6;PP;324
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1017;189;567;766;8;6;IU-LVCyL;57
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1017;189;567;766;8;6;FE;1
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1017;189;567;766;8;6;FA;1
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1017;189;567;766;8;6;TC-ACAL;1
